,title,type,release_year,runtime,production_countries,imdb_score,imdb_votes
330,21,MOVIE,2008,123,['US'],6.8,247039.0
331,Code Geass: Lelouch of the Rebellion,SHOW,2006,24,['JP'],8.7,62367.0
332,Terminator Salvation,MOVIE,2009,110,"['US', 'DE', 'IT', 'GB']",6.5,357557.0
333,Deck the Halls,MOVIE,2006,93,['US'],5.0,27797.0
334,The Girl Next Door,MOVIE,2007,91,['US'],6.5,26035.0
335,The Cat in the Hat,MOVIE,2003,81,['US'],4.0,81971.0
337,Final Destination 3,MOVIE,2006,93,"['CA', 'DE', 'US']",5.8,139797.0
338,Thir13en Ghosts,MOVIE,2001,91,"['CA', 'US']",5.6,86492.0
339,The One,MOVIE,2001,87,['US'],5.9,91584.0
340,Happy Feet,MOVIE,2006,108,['AU'],6.4,182612.0
341,Ip Man,MOVIE,2008,108,"['HK', 'CN']",8.0,221095.0
342,Coach Carter,MOVIE,2005,130,"['US', 'DE']",7.3,143670.0
343,Blade: Trinity,MOVIE,2004,106,['US'],5.8,175210.0
344,Monster-in-Law,MOVIE,2005,101,"['US', 'DE']",5.5,60693.0
345,Halloween,MOVIE,2007,109,['US'],6.0,118815.0
346,How Do You Know,MOVIE,2010,121,['US'],5.4,49599.0
347,The Sweetest Thing,MOVIE,2002,84,['US'],5.1,58516.0
348,The Final Destination,MOVIE,2009,82,['US'],5.1,104166.0
349,The Other Boleyn Girl,MOVIE,2008,115,"['GB', 'US']",6.7,111694.0
350,Friday the 13th,MOVIE,2009,97,['US'],5.5,105938.0
351,The Bucket List,MOVIE,2007,97,['US'],7.4,242733.0
352,Freddy vs. Jason,MOVIE,2003,97,"['IT', 'US']",5.7,117986.0
353,Transformers: Prime,SHOW,2010,22,['US'],7.9,6500.0
354,Memoirs of a Geisha,MOVIE,2005,145,"['FR', 'JP', 'US']",7.3,146847.0
355,A Nightmare on Elm Street,MOVIE,2010,95,['US'],5.2,99192.0
356,Body of Lies,MOVIE,2008,128,"['GB', 'US']",7.1,224896.0
357,A Cinderella Story,MOVIE,2004,95,"['CA', 'US']",5.9,86395.0
358,The Mole,SHOW,2001,52,"['US', 'BE']",7.6,1104.0
359,Osmosis Jones,MOVIE,2001,95,['US'],6.3,35711.0
360,Scary Movie 4,MOVIE,2006,83,['US'],5.1,120188.0
361,The Texas Chainsaw Massacre,MOVIE,2003,98,['US'],6.2,140741.0
362,Fun with Dick and Jane,MOVIE,2005,90,['US'],6.1,143998.0
363,TMNT,MOVIE,2007,87,"['US', 'HK']",6.2,64062.0
364,Due Date,MOVIE,2010,95,['US'],6.5,339626.0
365,Cop Out,MOVIE,2010,107,['US'],5.5,87673.0
366,The 4400,SHOW,2004,44,['US'],7.3,44971.0
367,Still Game,SHOW,2002,29,['GB'],8.9,7539.0
368,3 Idiots,MOVIE,2009,170,['IN'],8.4,385782.0
369,Midnight Diner,SHOW,2009,27,['JP'],8.6,2110.0
370,H2O: Just Add Water,SHOW,2006,25,['AU'],7.2,14782.0
371,Black Butler,SHOW,2008,25,['JP'],8.3,1856.0
372,Octonauts,SHOW,2010,15,['GB'],7.6,1049.0
373,New York Minute,MOVIE,2004,87,['US'],4.8,23307.0
374,Strawberry Shortcake,SHOW,2003,23,['US'],7.0,13.0
375,Total Drama Island,SHOW,2007,23,['CA'],7.4,10523.0
376,Dreamer: Inspired By a True Story,MOVIE,2005,106,['US'],6.8,13034.0
377,Monster House,MOVIE,2006,91,['US'],6.6,114942.0
378,Starsky & Hutch,MOVIE,2004,101,['US'],6.1,145981.0
379,Tears of the Sun,MOVIE,2003,121,['US'],6.6,121066.0
380,Boys Over Flowers,SHOW,2009,64,['KR'],7.9,11579.0
381,Winx Club,SHOW,2004,23,['IT'],6.2,6700.0
382,The Cave,MOVIE,2005,97,"['DE', 'US']",5.1,38445.0
383,Big Time Rush,SHOW,2009,25,['US'],6.3,12046.0
384,The Texas Chainsaw Massacre: The Beginning,MOVIE,2006,91,['US'],5.8,72366.0
385,I Am Sam,MOVIE,2001,132,['US'],7.6,149082.0
386,The Spiderwick Chronicles,MOVIE,2008,96,['US'],6.5,94628.0
387,Rumor Has It...,MOVIE,2005,97,['US'],5.5,57894.0
388,Dead Set,SHOW,2008,141,['GB'],7.6,19684.0
389,Toradora!,SHOW,2008,30,['JP'],8.0,14307.0
390,I Now Pronounce You Chuck & Larry,MOVIE,2007,115,['US'],5.9,146625.0
392,World Trade Center,MOVIE,2006,129,['US'],6.0,83129.0
393,Premonition,MOVIE,2007,96,['US'],5.9,78119.0
394,Shaun the Sheep,SHOW,2007,7,['GB'],8.0,25.0
395,Eagle Eye,MOVIE,2008,118,"['US', 'DE']",6.6,185430.0
397,Lagaan: Once Upon a Time in India,MOVIE,2001,224,['IN'],8.1,111053.0
